caption,username
What a beautiful beach and perfect time to visit around 5PM while wheater a bit cloudy. Love watching so many dogs play either street dog or with the owner. These beaches are connected each other so with long walk you may reach several beaches while wait for the sunset. What a life!,Piter Halim
Beach is relatively clean. I heard that they have a regular beach clean up program. Great place for people and sunset watching. There are a lot of warung selling drinks and coconuts.,chesa
"Good place for relaxing time alone or with friends. Crowded, it seems like many people liked to come here. There's also many dogs roaming around the beach, which is another nice entertainment.",Selvianna Rafief
Good place for surfing. You can rent a board here for 50k IDR,Evgenia Sabadash
"Nice place to relax. The restaurants are quite pricey, but comfy. The place started to be crowded during the sunset. A lot of dog running around, the sellers are in moderate level price and they are very nice.",Felzworld Vlog
"If u wanna catch the sunset, come here. This is the second most crowded beach in canggu area. There are many beach bars, restaurants n coffee... good place to chill n enjoy the view",Ekarista R.
Best place to learn how to surf or just hangout by yourself to enjoy your moments,Stefanus Saputra
Had an amazing sunset when i was there and it was absolutely stunning! Come earlier so you can park your vehicle closer to the beach.  There are some cafes and restaurants around there where you can relax,Andhika Aradianto
"Nice beach, possible to swim on low tide. Good spots for surf. Amazing sunsets. Enough place to have a walk on any tide. and really very wide on low tides. A lot of nice views. Temple near. Some restaurants on the side of Old man club, With good choice of dishes. Wonderful ocean view. You can see the sunset and amazing color clouds 30 min after sunset here.",Валентин Трофимович
"Jusr come and enjoy the view. No cost charged, except for parking fee",Diki Atmodjo
Many nice beach bars to hangout and super clean beach!,Shannon Teo
The sunset was incredible and good spot for surfing,Ayu Kristiani
"The beach was clean and it's so damn beautiful! The sunset is really breathtaking and gorgeous It's really a great place to hang out with friends,partners or family and also …",Karen Ivana Tania
"Go to place to learn how to surf. There are many ""warung"" you can rent boards from, even find instructor right from very basic/beginner to intermediate. You can even rent their swrvice to accompany you surf should you want a local friend to …",bluemyth
"Arrived here on 25/03/22 with my wife to relax and enjoy...great to meet locals and foreigners alike..good local food...friendly local people...great beach for surfing..specialy in early mornings and around sunset time. Stayed atZ-Cangu homestay, very peaceful, relaxing at the swimming pool.",viljem hajdic
Really awesome place to start out surfing. Nice sandy beaches and the waves are fun with plenty of surf instructors to help you out if need be. Board hire is cheap here as well. Stunning sunset location,Travel The World
